Year,DiscontinuityDOY,MCstartDOY,MCendDOY,FRstartDOY,FRendDOY,rH
2007,44.2,44.6113,45.3981,44.6113,45.3981,0.725
2007,117.01,117.37,117.674,117.37,117.674,0.719
2007,126.03,126.35,126.87,126.35,126.87,0.719
2007,144.8,145.15,145.833,145.15,145.833,0.721
2007,167.094,167.094,167.72,167.094,167.72,0.724
2007,167.93,167.98,168.446,167.98,168.446,0.724
2007,285.725,285.78,285.899,285.78,285.899,0.722
2007,321.18,321.306,321.792,321.306,321.306,0.719
2007,341.756,342.156,343.614,342.156,343.614,0.719
2008,364.676,364.865,365.207,364.865,365.207,0.723
2009,17.565,17.6085,17.9512,17.6085,17.9512,0.721
2009,118.902,119.6,120.214,119.6,120.214,0.725
2009,136.43,136.901,137.682,136.901,137.682,0.727
2009,153.67,153.777,154.514,153.777,154.514,0.728
2009,158.249,158.249,158.607,158.285,158.607,0.728
2009,175.19,175.24,175.49,175.24,175.49,0.728
2009,191.333,191.443,192.267,191.443,192.267,0.727
2009,221.386,221.436,221.803,221.436,221.803,0.723
2009,290.24,290.24,290.963,290.24,290.963,0.719
2009,325.41,325.41,325.666,325.41,325.666,0.722
2010,62.1924,62.6524,63.1499,62.6524,63.1499,0.725
2010,74.65,74.65,75.52,74.65,75.52,0.724
2010,75.79,76.3879,77.5099,76.3879,77.5099,0.724
2010,157.569,157.608,158.031,157.608,158.031,0.719
2010,166.59,166.973,168.072,166.973,168.072,0.72
2010,173.62,173.62,174.77,173.62,174.77,0.721
2010,180.04,180.36,180.959,180.36,180.959,0.722
2010,213.612,213.966,214.247,213.966,214.247,0.726
2010,214.479,214.529,214.67,214.529,214.67,0.726
2010,214.821,214.921,215.604,214.921,215.604,0.726
2010,222.159,222.522,222.885,222.522,222.69,0.727
2010,224.93,224.93,225.222,224.93,225.222,0.727
2010,251.461,251.461,251.773,251.461,251.773,0.728
2010,253.672,253.915,254.714,253.915,254.314,0.728
2011,81.369,81.7278,82.7644,81.7278,82.7644,0.727
2011,101.435,101.461,101.731,101.461,101.62,0.728
2011,107.319,107.319,107.762,107.319,107.762,0.728
2011,111.472,111.472,112.477,111.472,111.9,0.728
2011,139.874,140.161,140.759,140.161,140.5,0.727
2011,156.22,156.36,156.938,156.36,156.85,0.724
2011,182.48,182.573,183.376,182.573,183.376,0.721
2011,273.97,274.15,274.613,274.15,274.613,0.723
2011,289.035,289.254,290.402,289.254,290.402,0.725
2011,359.527,359.652,360.032,359.652,360.032,0.727
2011,360.97,361.097,361.654,361.097,361.654,0.727
2012,32.7,32.8803,33.5589,32.8803,33.18,0.722
2012,61.568,61.8935,62.5563,61.8935,62.5563,0.719
2012,67.56,67.8425,68.488,67.8425,68.488,0.719
2012,123.027,123.634,125.064,123.634,124.3,0.722
2012,200.693,200.994,201.697,200.994,201.697,0.728
2012,211.41,211.458,211.749,211.458,211.749,0.728
2012,257.197,257.489,258.137,257.489,257.93,0.722
2012,315.652,315.914,316.08,315.914,316.08,0.719
2012,318.45,318.73,319.269,318.73,319.269,0.719
2012,330.043,330.22,330.472,330.22,330.472,0.72
2013,8.391,8.64204,9.82468,8.64204,9.82468,0.725
2013,33.0944,33.0944,33.8692,33.0944,33.8692,0.728
2013,48.4551,48.4551,48.8686,48.4551,48.8686,0.728
2013,52.669,52.669,52.83,52.669,52.83,0.728
2013,65.557,65.9832,66.4848,65.9832,66.4848,0.728
2013,72.862,72.862,73.3025,72.862,73.15,0.727
2013,117.61,118.073,119.579,118.073,119.579,0.722
2013,201.421,201.882,202.741,201.882,202.741,0.721
2013,261.487,261.487,261.939,261.487,261.939,0.728
2013,278.179,278.523,279.624,278.523,279.624,0.728
2013,334.188,334.583,335.667,334.583,335.667,0.723
2013,348.13,348.606,348.986,348.606,348.606,0.721
