start_time,end_time
2007-02-13 04:48:00.000,2007-02-14 09:33:15.840
2007-04-27 00:14:24.000,2007-04-27 16:10:33.600
2007-05-06 00:43:12.000,2007-05-06 20:52:48.000
2007-05-24 19:12:00.000,2007-05-25 19:59:31.200
2007-06-16 02:15:21.600,2007-06-16 17:16:48.000
2007-06-16 22:19:12.000,2007-06-17 10:42:14.400
2007-10-12 17:24:00.000,2007-10-12 21:34:33.600
2007-11-17 04:19:12.000,2007-11-17 19:00:28.800
2007-12-07 18:08:38.400,2007-12-09 14:44:09.600
2008-12-29 16:13:26.400,2008-12-30 04:58:04.800
2009-01-17 13:33:36.000,2009-01-17 22:49:43.680
2009-04-28 21:38:52.800,2009-04-30 05:08:09.600
2009-05-16 10:19:12.000,2009-05-17 16:22:04.800
2009-06-02 16:04:48.000,2009-06-03 12:20:09.600
2009-06-07 05:58:33.600,2009-06-07 14:34:04.800
2009-06-24 04:33:36.000,2009-06-24 11:45:36.000
2009-07-10 07:59:31.200,2009-07-11 06:24:28.800
2009-08-09 09:15:50.400,2009-08-09 19:16:19.200
2009-10-17 05:45:36.000,2009-10-17 23:06:43.200
2009-11-21 09:50:24.000,2009-11-21 15:59:02.400
2010-03-03 04:37:03.360,2010-03-04 03:35:51.360
2010-03-15 15:36:00.000,2010-03-16 12:28:48.000
2010-03-16 18:57:36.000,2010-03-18 12:14:15.360
2010-06-06 13:39:21.600,2010-06-07 00:44:38.400
2010-06-15 14:09:36.000,2010-06-17 01:43:40.800
2010-06-22 14:52:48.000,2010-06-23 18:28:48.000
2010-06-29 00:57:36.000,2010-06-29 23:00:57.600
2010-08-01 14:41:16.800,2010-08-02 05:55:40.800
2010-08-02 11:29:45.600,2010-08-02 16:04:48.000
2010-08-02 19:42:14.400,2010-08-03 14:29:45.600
2010-08-10 03:48:57.600,2010-08-10 21:14:24.000
2010-08-12 22:19:12.000,2010-08-13 05:19:40.800
2010-09-08 11:03:50.400,2010-09-08 18:33:07.200
2010-09-10 16:07:40.800,2010-09-11 17:08:09.600
2011-03-22 08:51:21.600,2011-03-23 18:20:44.160
2011-04-11 10:26:24.000,2011-04-11 17:32:38.400
2011-04-17 07:39:21.600,2011-04-17 18:17:16.800
2011-04-21 11:19:40.800,2011-04-22 11:26:52.800
2011-05-19 20:58:33.600,2011-05-20 18:12:57.600
2011-06-05 05:16:48.000,2011-06-05 22:30:43.200
2011-07-01 11:31:12.000,2011-07-02 09:01:26.400
2011-09-30 23:16:48.000,2011-10-01 14:42:43.200
2011-10-16 00:50:24.000,2011-10-17 09:38:52.800
2011-12-25 12:38:52.800,2011-12-26 00:46:04.800
2011-12-26 23:16:48.000,2011-12-27 15:41:45.600
2012-02-01 16:48:00.000,2012-02-02 13:24:48.960
2012-03-01 13:37:55.200,2012-03-02 13:21:04.320
2012-03-07 13:26:24.000,2012-03-08 11:42:43.200
2012-05-02 00:38:52.800,2012-05-04 01:32:09.600
2012-07-18 16:37:55.200,2012-07-19 16:43:40.800
2012-07-29 09:50:24.000,2012-07-29 17:58:33.600
2012-09-13 04:43:40.800,2012-09-14 03:17:16.800
2012-11-10 15:38:52.800,2012-11-11 01:55:12.000
2012-11-13 10:48:00.000,2012-11-14 06:27:21.600
2012-11-25 01:01:55.200,2012-11-25 11:19:40.800
2013-01-08 09:23:02.400,2013-01-09 19:47:32.352
2013-02-02 02:15:56.160,2013-02-02 20:51:38.880
2013-02-17 10:55:20.640,2013-02-17 20:50:47.040
2013-02-21 16:03:21.600,2013-02-21 19:55:12.000
2013-03-06 13:22:04.800,2013-03-07 11:38:06.720
2013-03-13 20:41:16.800,2013-03-14 07:15:36.000
2013-04-27 14:38:24.000,2013-04-29 13:53:45.600
2013-07-20 10:06:14.400,2013-07-21 17:47:02.400
2013-09-18 11:41:16.800,2013-09-18 22:32:09.600
2013-10-05 04:17:45.600,2013-10-06 14:58:33.600
2013-11-30 04:30:43.200,2013-12-01 16:00:28.800
2013-12-14 03:07:12.000,2013-12-14 23:39:50.400
