Event ID	Date-Time	Type	Instrument(s)	Location info (Event or Sub-spacecraft)	Lat.	Long.	References
35	2016-02-19T09:40:00	Outburst	Various	E	-28.6	232.3	Grün et al., The 2016 Feb 19 outburst of comet 67P/CG: an ESA Rosetta multi-instrument study, MNRAS, Issue Suppl_1, November 2016, Pages S220-234	 
36	2015-10-05T20:15:00	CME impact	RPC	N/A	N/A	N/A	Edberg et al., CME impact on comet 67P/Churymov-Gerasimenko, MNRAS, Issue Suppl_1, November 2016, Pages S45-56	 
37	2016-07-03T07:34:00	Outburst	Various	E	172	-33,2	Agarwal et al., Evidence of sub-surface energy storage in comet 67P from the outburst of 2016 July 03,MNRAS,Vol. 469, Issue Suppl_2, 21 July 2017, pages S606–S625	 
38	2015-05-23T12:42:00	Outburst	ALICE	S	-17.1	151,2	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016    	 
39	2015-06-18T03:43:00	Outburst	ALICE	S	51.3	214,8	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016    	 
40	2015-06-20T15:26:00	Outburst	ALICE	S	19.9	269,3	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016    	 
41	2015-06-23T20:39:00	Outburst	ALICE	S	53.3	215	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016    	 
42	2015-07-04T08:56:00	Outburst	ALICE	S	53.8	111.6	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016    	 
43	2015-07-13T01:16:00	Outburst	ALICE	S	15.6	149.3	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016  	 
44	2016-09-05T17:30:00	Insitu event	ROSINA	N/A	N/A	N/A	Altwegg et al., Organics in comet 67P - a first comparative analysis of mass spectra from ROSINA-DFMS, COSAC and Ptolemy, MNRAS, Issue_Suppl_2, 21 July 2017, PAGES S130-S141	 
45	2015-08-15	Outburst	GROUND BASED	N/A	N/A	N/A	Boehnhardt et al., Mt. Wendelstein imaging of the post-perihelion dust coma if 67P/Churyumov-Gerasimenko in 2015/2016, MNRAS, Issue_Suppl_1,16 November 2016, pages S376-S393	 
46	2014-04-30	Outburst	NAC	N/A	N/A	N/A	Tubiana et al., 67P/ Churyumov-Gerasimeno: Activity between March and June 2014 as observed from Rosetta/OSIRIS	 
47	2015-04-26T18:29:00	Outburst	STR	N/A	N/A	N/A	Provided by Eberhard Grün, on behalf of the STR group	 
48	2015-05-01T07:25:00	Outburst	STR	N/A	N/A	N/A	Provided by Eberhard Grün, on behalf of the STR group	 
49	2015-05-20T15:01:00	Outburst	STR	N/A	N/A	N/A	Provided by Eberhard Grün, on behalf of the STR group	 
50	2015-06-01T16:31:00	Outburst	STR	N/A	N/A	N/A	Provided by Eberhard Grün, on behalf of the STR group	 
51	2015-07-08T04:48:00	Outburst	STR	N/A	N/A	N/A	Provided by Eberhard Grün, on behalf of the STR group	 
52	2015-07-11T01:42:00	Outburst	STR	N/A	N/A	N/A	Provided by Eberhard Grün, on behalf of the STR group	 
53	2015-07-17T12:59:00	Outburst	STR	N/A	N/A	N/A	Provided by Eberhard Grün, on behalf of the STR group	 
54	2015-07-30T06:20:00	Outburst	STR	N/A	N/A	N/A	Provided by Eberhard Grün, on behalf of the STR group	 
55	2015-08-05T15:01:00	Outburst	STR	N/A	N/A	N/A	Provided by Eberhard Grün, on behalf of the STR group	 
56	2015-09-03T21:39:00	Outburst	STR	N/A	N/A	N/A	Provided by Eberhard Grün, on behalf of the STR group	 
57	2015-03-07	SEP	SREM	N/A	N/A	N/A	Provided by Annie Wellbrock and Geraint Jones	 
58	2015-03-26	SEP	SREM	N/A	N/A	N/A	Provided by Annie Wellbrock and Geraint Jones	 
59	2015-04-15	CME+SEP	SREM	N/A	N/A	N/A	Provided by Annie Wellbrock and Geraint Jones	 
60	2015-05-02	SEP	SREM	N/A	N/A	N/A	Provided by Annie Wellbrock and Geraint Jones	 
61	2015-05-20	SEP	SREM	N/A	N/A	N/A	Provided by Annie Wellbrock and Geraint Jones	 
62	2015-06-19	SEP	SREM	N/A	N/A	N/A	Provided by Annie Wellbrock and Geraint Jones	 
63	2015-07-03	SEP+CIR	SREM	N/A	N/A	N/A	Provided by Annie Wellbrock and Geraint Jones	 
64	2015-10-29	SEP	SREM	N/A	N/A	N/A	Provided by Annie Wellbrock and Geraint Jones	 
65	2014-06-10T11:52	Flare	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
66	2014-08-24T12:21	Flare	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
67	2014-09-02T18:00	SEP	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI  team and also discussed by McKenna-Lawlor et al., Space Weather at Comet 67P/Churyumov-Gerasimenko before its perihelion, Earth,Moon and Planets, March, Vol. 117, Issue 1, pp 1-22, 2016	 
68	2014-09-10T18:20	Flare	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
69	2014-09-11T16:15	CME Halo	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
70	2014-09-19T15:55	CME	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
71	2014-09-28T03:19	Flare	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
72	2014-10-02T19:19	Flare	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
73	2014-10-22T14:49	Flare	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team and also F. Johansson et al., Rosetta photoelectron emission and solar ultraviolet flux at comet 67P, MNRAS 469, S626-S635, 2017	 
74	2014-10-22T16:30	CME 	-	N/A	N/A	N/A	Witasse et al., Interplanetary coronal mass ejection observed at STEREO-A, Mars, comet 67P/Churyumov-Gerasimenko, Saturn, and New Horizons en route to Pluto: Comparison of its Forbush decreases at 1.4, 3.1, and 9.9 AU, JGR, 122, 7865–7890, doi:10.1002/ 2017JA023884, 2017. Also part of list provided by Cyril Simon Wedlund and RPC ISSI team and Edberg, N. J. T., et al. (2016), Solar wind interaction with comet 67P: Impacts of corotating interaction regions, J. Geo- phys. Res. Space Physics, 121, 949–965, doi:10.1002/2015JA022147. 	 
75	2014-11-07T14:15	CIR	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC  ISSI team and Edberg, N. J. T., et al. (2016), Solar wind interaction with comet 67P: Impacts of corotating interaction regions, J. Geo- phys. Res. Space Physics, 121, 949–965, doi:10.1002/2015JA022147. 	 
76	2014-12-03T18:00	CIR	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team and Edberg, N. J. T., et al. (2016), Solar wind interaction with comet 67P: Impacts of corotating interaction regions, J. Geo- phys. Res. Space Physics, 121, 949–965, doi:10.1002/2015JA022147. 	 
77	2014-12-22T09:00	CIR	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC  ISSI team and Edberg, N. J. T., et al. (2016), Solar wind interaction with comet 67P: Impacts of corotating interaction regions, J. Geo- phys. Res. Space Physics, 121, 949–965, doi:10.1002/2015JA022147. 	 
78	2015-07-03T21:30	CIR	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team + Charlotte Goetz	 
79	2015-11-11	CIR	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
80	2015-11-16	CIR	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
81	2015-11-20	Flare	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team also F. Johansson et al., Rosetta photoelectron emission and solar ultraviolet flux at comet 67P, MNRAS 469, S626-S635, 2017	 
82	2015-12-05	CIR	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
83	2015-12-13	CIR +Weak SEP	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team + Annie Wellbrock	 
84	2015-12-17	CIR	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI  team	 
85	2016-01-11	CME	RPC	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
86	2016-02-08T11:56	CME	RPC	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
87	2016-03-12	CME	RPC	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
88	2016-04-18T00:45	Flare	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
89	2016-07-06T14:00	Flare	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
90	2016-07-10T00:00	Flare	-	N/A	N/A	N/A	Provided by Cyril Simon Wedlund and RPC ISSI team	 
91	2014-05-07T17:55:42.8	OCM	-	N/A	N/A	N/A	Near Comet Drift Manoeuvre, ~ 20 m/s dV	 
92	2014-05-21T19:08:10.1	OCM	-	N/A	N/A	N/A	Near Comet Drift Manoeuvre, NCD-1, ~ 289 m/s dV	 
93	2014-06-04T17:48:42.3	OCM	-	N/A	N/A	N/A	Near Comet Drift Manoeuvre, NCD-2, ~ 269 m/s dV	 
94	2014-06-18T14:30:36.3	OCM	-	N/A	N/A	N/A	Near Comet Drift Manoeuvre, NCD-3, ~ 89 m/s dV	 
95	2014-07-12T12:57:41.5	OCM	-	N/A	N/A	N/A	Far Approach Trajectory, FAT-1, ~ 59 m/s dV	 
96	2014-07-09T11:57:54.7	OCM	-	N/A	N/A	N/A	Far Approach Trajectory, FAT-2, ~ 26 m/s dV	 
97	2016-07-16T11:30:40.2	OCM	-	N/A	N/A	N/A	Far Approach Trajectory, FAT-3, ~ 11 m/s dV	 
98	2016-07-23T10:48:57.4	OCM	-	N/A	N/A	N/A	Far Approach Trajectory, FAT-4, ~ 5 m/s dV	 
99	2016-08-03T09:08:30.8	OCM	-	N/A	N/A	N/A	Routine Orbit Correction Manoeuvre  ~ 3.2 m/s dV	 
100	2016-08-06T09:04:00.7	OCM	-	N/A	N/A	N/A	Routine Orbit Correction Manoeuvre  ~ 0.9 m/s dV (comet rendezvous)	 
101	2015-02-27T08:30:00.0	Outburst	ALICE	S	49.2	195.8	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
102	2015-03-15T18:57:17	Outburst	ALICE	S	-27.9	169.5	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
